facebook, 74
sebmarkbage, 22
rickhanlonii, 18
bvaughn, 15
dependabot[bot], 7
acdlite, 7
JoshuaGross, 7
yungsters, 4
gaearon, 4
susiwen8, 3
hecerinc, 3
eps1lon, 3
airimovici, 3
sammy-SC, 1
mdvacca, 1
